ID,URL,positive_score,negative_score,polarity_score,subjectivity_score,avg_sentence_length,percentage_complex_words,fog_index,complex_word_count,word_count,syllables_per_word,personal_pronouns,avg_word_length
Netclan20241017,https://insights.blackcoffer.com/ai-and-ml-based-youtube-analytics-and-content-creation-tool-for-optimizing-subscriber-engagement-and-content-strategy/,19,3,0.7272723966943652,0.05744125176393599,383.0,57.96344647519582,176.38537859007835,222,383,3.2610966057441253,0,8.219321148825065
Netclan20241018,https://insights.blackcoffer.com/enhancing-front-end-features-and-functionality-for-improved-user-experience-and-dashboard-accuracy-in-partner-hospital-application/,24,7,0.5483869198751872,0.05227655898353189,593.0,50.42158516020236,257.36863406408094,299,593,2.903878583473862,0,7.54637436762226
Netclan20241019,https://insights.blackcoffer.com/roas-dashboard-for-campaign-wise-google-ads-budget-tracking-using-google-ads-ap/,26,7,0.5757574012856359,0.06804123571048999,485.0,52.98969072164949,215.1958762886598,257,485,3.0,0,7.692783505154639
Netclan20241020,https://insights.blackcoffer.com/efficient-processing-and-analysis-of-financial-data-from-pdf-files-addressing-formatting-inconsistencies-and-ensuring-data-integrity-for-a-toyota-dealership-management-firm/,37,13,0.4799999040000192,0.08347245269662015,599.0,61.93656093489148,264.37462437395664,371,599,3.1385642737896493,0,8.128547579298832
Netclan20241021,https://insights.blackcoffer.com/development-of-ea-robot-for-automated-trading/,23,3,0.7692304733728949,0.044217686322828464,588.0,47.95918367346938,254.38367346938776,282,588,2.945578231292517,0,7.489795918367347
Netclan20241022,https://insights.blackcoffer.com/ai-and-ml-based-youtube-analytics-and-content-creation-tool-for-optimizing-subscriber-engagement-and-content-strategy/,19,3,0.7272723966943652,0.05744125176393599,383.0,57.96344647519582,176.38537859007835,222,383,3.2610966057441253,0,8.219321148825065
Netclan20241023,https://insights.blackcoffer.com/enhancing-front-end-features-and-functionality-for-improved-user-experience-and-dashboard-accuracy-in-partner-hospital-application/,24,7,0.5483869198751872,0.05227655898353189,593.0,50.42158516020236,257.36863406408094,299,593,2.903878583473862,0,7.54637436762226
Netclan20241024,https://insights.blackcoffer.com/roas-dashboard-for-campaign-wise-google-ads-budget-tracking-using-google-ads-ap/,26,7,0.5757574012856359,0.06804123571048999,485.0,52.98969072164949,215.1958762886598,257,485,3.0,0,7.692783505154639
Netclan20241025,https://insights.blackcoffer.com/efficient-processing-and-analysis-of-financial-data-from-pdf-files-addressing-formatting-inconsistencies-and-ensuring-data-integrity-for-a-toyota-dealership-management-firm/,37,13,0.4799999040000192,0.08347245269662015,599.0,61.93656093489148,264.37462437395664,371,599,3.1385642737896493,0,8.128547579298832
Netclan20241026,https://insights.blackcoffer.com/transforming-and-managing-a-large-scale-sql-pedigree-database-to-neo4j-graph-db/,67,12,0.696202443518678,0.07149321202268587,1105.0,62.62443438914027,467.04977375565613,692,1105,3.0986425339366517,0,7.870588235294117
Netclan20241027,https://insights.blackcoffer.com/enhancing-model-accuracy-from-58-to-over-90-strategies-for-improving-predictive-performance/,37,7,0.6818180268595393,0.08712871114596613,505.0,62.97029702970297,227.18811881188117,318,505,3.243564356435644,0,8.184158415841583
Netclan20241028,https://insights.blackcoffer.com/securing-sensitive-financial-data-with-privacy-preserving-machine-learning-for-predictive-analytics/,41,4,0.8222220395062134,0.07666098676897808,587.0,64.90630323679727,260.7625212947189,381,587,3.2759795570698467,0,8.318568994889267
Netclan20241029,https://insights.blackcoffer.com/enhancing-data-collection-for-research-institutions-addressing-survey-fatigue-and-incorporating-verbal-communication-for-richer-insights/,34,9,0.58139521362902,0.0861723429624781,499.0,59.719438877755515,223.4877755511022,298,499,3.2304609218436875,0,8.226452905811623
Netclan20241030,https://insights.blackcoffer.com/analyzing-the-impact-of-positive-emotions-and-pandemic-severity-on-mental-health-and-resilience-among-entrepreneurs-insights-and-predictive-modeling/,33,10,0.5348835965386984,0.08634537979226145,498.0,61.84738955823293,223.9389558232932,308,498,3.281124497991968,0,8.271084337349398
